company_name,country,service_type,transport_type,route_from,route_to,region,punctuality,reliability,stability,safety,geography,automation,finance,price_per_km,extra_cost,reputation,experience,claims,insurance,own_fleet,verification_status,loading_date_from,loading_date_to,report_date
АмурТранс,Россия,FTL,автовоз,Благовещенск,Хабаровск,Дальний Восток,94,92,93,1.8,12,4.0,8.2,45,4.5,4.6,89,0,1,38,verified,2026-01-22,2026-01-30,2026-01-31
КрымЛогистик,Россия,LTL,тентованный,Симферополь,Севастополь,Крым,86,83,85,3.8,3,2.8,5.5,37,6.2,4.1,69,0,1,8,verified,2026-01-13,2026-01-19,2026-01-31
АлтайАвто,Россия,FTL,рефрижератор,Барнаул,Новосибирск,Сибирь,90,88,89,2.5,5,3.4,7.2,40,5.0,4.5,80,0,1,24,verified,2026-01-15,2026-01-22,2026-01-31
ЯмалТранс,Россия,FTL,автовоз,Салехард,Новый Уренгой,Урал,95,93,94,1.5,8,4.2,8.8,52,4.8,4.7,91,0,1,42,verified,2026-01-25,2026-02-02,2026-01-31
КамчатЛогистик,Россия,LTL,рефрижератор,Петропавловск-Камчатский,Владивосток,Дальний Восток,88,85,87,3.0,3,2.8,6.2,58,6.5,4.2,75,0,1,12,verified,2026-01-18,2026-01-28,2026-01-31
СахалинТранс,Россия,FTL,автовоз,Южно-Сахалинск,Корсаков,Дальний Восток,91,89,90,2.2,4,3.5,7.5,55,5.5,4.5,82,0,1,18,verified,2026-01-20,2026-01-30,2026-01-31
КарелияАвто,Россия,LTL,тентованный,Петрозаводск,Санкт-Петербург,Северо-Запад,87,84,86,3.5,5,2.5,6.0,41,5.8,4.0,72,0,1,14,verified,2026-01-12,2026-01-18,2026-01-31
КомиТранс,Россия,FTL,рефрижератор,Сыктывкар,Ухта,Север,90,88,89,2.8,4,3.2,7.0,44,5.2,4.3,79,0,1,20,verified,2026-01-22,2026-01-28,2026-01-31
БайкалЛогистик,Россия,FTL,автовоз,Иркутск,Улан-Удэ,Сибирь,93,90,92,2.4,9,3.8,8.0,46,4.5,4.6,87,0,1,30,verified,2026-01-14,2026-01-24,2026-01-31
ТатарстанАвто,Россия,LTL,тентованный,Казань,Набережные Челны,Поволжье,89,87,88,3.2,6,3.0,6.5,37,5.0,4.2,75,0,1,16,verified,2026-01-10,2026-01-17,2026-01-31
БашкортостанТранс,Россия,FTL,рефрижератор,Уфа,Стерлитамак,Поволжье,88,85,87,3.8,5,2.8,6.2,39,5.5,4.0,73,0,1,12,verified,2026-01-16,2026-01-22,2026-01-31
КузбассЛогистик,Россия,FTL,автовоз,Кемерово,Новокузнецк,Сибирь,92,90,91,2.0,7,3.8,7.8,42,4.8,4.4,85,0,1,28,verified,2026-01-11,2026-01-18,2026-01-31
ТомскАвто,Россия,LTL,микроавтобус,Томск,Новосибирск,Сибирь,86,83,85,4.0,2,2.2,5.0,38,6.0,3.9,67,0,0,6,not_verified,2026-01-08,2026-01-11,2026-01-31
ОренбургТранс,Россия,FTL,тентованный,Оренбург,Самара,Поволжье,89,87,88,3.1,5,3.0,6.8,40,5.2,4.1,77,0,1,18,verified,2026-01-17,2026-01-24,2026-01-31
СаратовЛогистик,Россия,LTL,рефрижератор,Саратов,Волгоград,Поволжье,87,84,86,3.9,4,2.5,5.8,36,6.0,3.8,71,0,1,10,verified,2026-01-09,2026-01-15,2026-01-31
ПензаАвто,Россия,FTL,автовоз,Пенза,Москва,Центральный,90,88,89,2.6,6,3.4,7.2,41,5.0,4.3,80,0,1,22,verified,2026-01-19,2026-01-26,2026-01-31
УльяновскТранс,Россия,LTL,тентованный,Ульяновск,Казань,Поволжье,88,86,87,3.3,4,2.8,6.0,38,5.5,4.0,74,0,1,14,verified,2026-01-10,2026-01-16,2026-01-31
ИжевскЛогистик,Россия,FTL,рефрижератор,Ижевск,Пермь,Урал,91,89,90,2.3,5,3.5,7.5,43,4.8,4.5,83,0,1,20,verified,2026-01-20,2026-01-27,2026-01-31
ЧебоксарыАвто,Россия,LTL,микроавтобус,Чебоксары,Нижний Новгород,Поволжье,85,82,84,4.8,2,1.8,4.2,35,6.8,3.7,63,0,0,4,not_verified,2026-01-07,2026-01-10,2026-01-31
СмоленскТранс,Россия,FTL,автовоз,Смоленск,Москва,Центральный,89,87,88,2.9,5,3.2,7.0,40,5.0,4.2,78,0,1,16,verified,2026-01-22,2026-01-29,2026-01-31
БрянскЛогистик,Россия,LTL,тентованный,Брянск,Орел,Центральный,87,85,86,3.6,4,2.5,5.8,37,5.8,3.9,70,0,1,10,verified,2026-01-13,2026-01-19,2026-01-31
ТверьАвто,Россия,FTL,рефрижератор,Тверь,Санкт-Петербург,Центральный,90,88,89,2.7,4,3.0,6.5,42,5.2,4.1,76,0,1,18,verified,2026-01-15,2026-01-21,2026-01-31 у меня новый датасет я хочу чтобы ты перписал код чтобы адаптировать под датасет
