id_перевозчика,название,инн,регион,тип_автопарка,статус_компании,дата_регистрации,налоговая_нагрузка,кол_во_водителей,кол_во_тс,gps_мониторинг,страховка,есть_банкротство,репутационный_балл_внешний,id_рейса,дата_рейса,дата_погрузки_план,дата_погрузки_факт,дата_доставки_план,дата_доставки_факт,статус_рейса,цена_рейса_руб,повреждение_груза,есть_претензия,id_клиента,дата_отмены,причина_отмены,отзыв_клиента_звезды,текст_отзыва,дата_отзыва,использовал_мобильное_приложение,дата_отклика
"1001,ТК ""Быстрый путь"",7701234567,Москва,рефрижераторы,действующая,2015-03-10,0.18,12,10,да,да,нет,85,50001,2026-02-02,2026-02-02 10:00,2026-02-02 10:15,2026-02-02 18:00,2026-02-02 18:30,завершен,50000,нет,нет,9001,,,5,""все отлично"",2026-02-03,да,2026-02-01 09:30"
"1001,ТК ""Быстрый путь"",7701234567,Москва,рефрижераторы,действующая,2015-03-10,0.18,12,10,да,да,нет,85,50002,2026-02-04,2026-02-04 09:00,2026-02-04 09:00,2026-02-04 17:00,2026-02-04 19:00,завершен,48000,нет,нет,9002,,,4,""нормально"",2026-02-05,да,2026-02-03 14:15"
"1001,ТК ""Быстрый путь"",7701234567,Москва,рефрижераторы,действующая,2015-03-10,0.18,12,10,да,да,нет,85,50003,2026-02-11,2026-02-11 11:00,2026-02-11 11:45,2026-02-11 19:00,2026-02-11 20:15,завершен,52000,нет,нет,9001,,,3,""водитель опоздал"",2026-02-12,да,2026-02-10 08:00"
"1001,ТК ""Быстрый путь"",7701234567,Москва,рефрижераторы,действующая,2015-03-10,0.18,12,10,да,да,нет,85,50004,2026-02-21,2026-02-21 08:00,2026-02-21 08:30,2026-02-21 16:00,2026-02-21 16:30,завершен,49000,да,да,9003,,,2,""поврежден груз"",2026-02-22,да,2026-02-20 11:20"
"1001,ТК ""Быстрый путь"",7701234567,Москва,рефрижераторы,действующая,2015-03-10,0.18,12,10,да,да,нет,85,50005,2026-03-02,2026-03-02 13:00,2026-03-02 13:00,2026-03-02 21:00,2026-03-02 21:00,завершен,51000,нет,нет,9001,,,5,""отлично"",2026-03-03,да,2026-03-01 10:45"
"1001,ТК ""Быстрый путь"",7701234567,Москва,рефрижераторы,действующая,2015-03-10,0.18,12,10,да,да,нет,85,50006,2026-03-11,2026-03-11 14:00,2026-03-11 14:20,2026-03-11 22:00,2026-03-11 22:15,завершен,50500,нет,нет,9002,,,4,""хорошо"",2026-03-12,да,2026-03-10 09:00"
"1001,ТК ""Быстрый путь"",7701234567,Москва,рефрижераторы,действующая,2015-03-10,0.18,12,10,да,да,нет,85,50021,2026-03-13,2026-03-13 09:00,,2026-03-13 17:00,,отменен,51000,,,,9001,2026-03-12 08:45,не хватило водителя,,,,да,2026-03-12 08:00"
"1002,ООО ""Грузовичок"",7812345678,Санкт-Петербург,бортовые,действующая,2023-01-20,0.22,2,2,нет,нет,нет,45,50007,2026-02-16,2026-02-16 09:00,2026-02-16 09:30,2026-02-16 17:00,2026-02-16 18:00,завершен,55000,нет,нет,9004,,,4,""хорошо"",2026-02-17,нет,2026-02-15 16:30"
"1002,ООО ""Грузовичок"",7812345678,Санкт-Петербург,бортовые,действующая,2023-01-20,0.22,2,2,нет,нет,нет,45,50008,2026-02-26,2026-02-26 10:00,2026-02-26 10:10,2026-02-26 18:00,2026-02-26 19:30,завершен,56000,нет,нет,9004,,,3,""опоздание"",2026-02-27,нет,2026-02-25 09:15"
"1002,ООО ""Грузовичок"",7812345678,Санкт-Петербург,бортовые,действующая,2023-01-20,0.22,2,2,нет,нет,нет,45,50009,2026-03-06,2026-03-06 08:00,2026-03-06 09:15,2026-03-06 16:00,2026-03-06 17:45,завершен,54000,нет,да,9005,,,2,""претензия по срокам"",2026-03-07,нет,2026-03-05 11:00"
"1002,ООО ""Грузовичок"",7812345678,Санкт-Петербург,бортовые,действующая,2023-01-20,0.22,2,2,нет,нет,нет,45,50022,2026-03-09,2026-03-09 08:00,,2026-03-09 16:00,,отменен,53000,,,,9004,2026-03-08 22:00,нашел груз дороже,,,,нет,2026-03-08 14:00"
