carrier_id,company_name,inn,region,fleet_type,company_status,registration_date,tax_burden,drivers_count,vehicles_count,gps_monitoring,insurance,has_bankruptcy,reputation_score,trip_id,trip_date,loading_date_plan,loading_date_fact,delivery_date_plan,delivery_date_fact,trip_status,price_rub,cargo_damage,has_claim,client_id,cancellation_date,cancellation_reason,review_stars,review_text,review_date,used_mobile_app,response_date
1001,"ТК ""Быстрый путь""",7701234567,Москва,рефрижераторы,действующая,2015-03-10,0.18,12,10,да,да,нет,85,50023,2026-04-01,2026-04-01 09:00,2026-04-01 09:05,2026-04-01 17:00,2026-04-01 17:10,завершен,51000,нет,нет,9001,,not specified,5,отлично,2026-04-02,да,2026-03-31 14:30
1001,"ТК ""Быстрый путь""",7701234567,Москва,рефрижераторы,действующая,2015-03-10,0.18,12,10,да,да,нет,85,50024,2026-04-05,2026-04-05 10:00,2026-04-05 10:15,2026-04-05 18:00,2026-04-05 18:30,завершен,52000,нет,нет,9002,,not specified,4,хорошо,2026-04-06,да,2026-04-04 11:00
1001,"ТК ""Быстрый путь""",7701234567,Москва,рефрижераторы,действующая,2015-03-10,0.18,12,10,да,да,нет,85,50025,2026-04-10,2026-04-10 08:00,2026-04-10 08:00,2026-04-10 16:00,2026-04-10 16:15,завершен,49500,нет,нет,9003,,not specified,5,профессионально,2026-04-11,да,2026-04-09 09:45
1002,"ООО ""Грузовичок""",7812345678,Санкт-Петербург,бортовые,действующая,2023-01-20,0.22,2,2,нет,нет,нет,45,50023,2026-04-03,2026-04-03 09:00,2026-04-03 09:20,2026-04-03 17:00,2026-04-03 18:15,завершен,56000,нет,да,9004,,not specified,3,опоздание,2026-04-04,нет,2026-04-02 10:00
1002,"ООО ""Грузовичок""",7812345678,Санкт-Петербург,бортовые,действующая,2023-01-20,0.22,2,2,нет,нет,нет,45,50024,2026-04-08,2026-04-08 10:00,2026-04-08 10:30,2026-04-08 18:00,2026-04-08 19:00,завершен,55000,нет,нет,9005,,not specified,4,нормально,2026-04-09,нет,2026-04-07 13:30
1003,ПЭК,7712345679,Москва,все_типы,действующая,2010-11-05,0.15,45,42,да,да,нет,92,50015,2026-04-02,2026-04-02 08:00,2026-04-02 08:00,2026-04-02 16:00,2026-04-02 16:00,завершен,63000,нет,нет,9006,,not specified,5,идеально,2026-04-03,да,2026-04-01 08:00
1003,ПЭК,7712345679,Москва,все_типы,действующая,2010-11-05,0.15,45,42,да,да,нет,92,50016,2026-04-07,2026-04-07 09:00,2026-04-07 09:00,2026-04-07 17:00,2026-04-07 17:00,завершен,62000,нет,нет,9007,,not specified,5,отлично,2026-04-08,да,2026-04-06 10:15
1004,"ИП ""Самосвал""",7612345680,Ярославль,самосвалы,действующая,2024-06-15,0.31,1,3,нет,да,нет,30,50017,2026-04-04,2026-04-04 10:00,2026-04-04 11:00,2026-04-04 18:00,2026-04-04 19:30,завершен,42000,нет,нет,9008,,not specified,3,опоздание,2026-04-05,нет,2026-04-03 12:00
1004,"ИП ""Самосвал""",7612345680,Ярославль,самосвалы,действующая,2024-06-15,0.31,1,3,нет,да,нет,30,50018,2026-04-09,2026-04-09 09:00,2026-04-09 09:15,2026-04-09 17:00,2026-04-09 17:45,завершен,41500,нет,нет,9009,,not specified,4,хорошо,2026-04-10,нет,2026-04-08 11:30
1005,"ТК ""Южный Экспресс""",8612345681,Краснодар,рефрижераторы,действующая,2018-09-12,0.19,8,7,да,да,нет,78,50021,2026-04-01,2026-04-01 08:00,2026-04-01 08:00,2026-04-01 16:00,2026-04-01 16:00,завершен,48000,нет,нет,9010,,not specified,5,отлично,2026-04-02,да,2026-03-31 14:00
1005,"ТК ""Южный Экспресс""",8612345681,Краснодар,рефрижераторы,действующая,2018-09-12,0.19,8,7,да,да,нет,78,50022,2026-04-06,2026-04-06 11:00,2026-04-06 11:30,2026-04-06 19:00,2026-04-06 19:45,завершен,48500,нет,нет,9011,,not specified,4,хорошо,2026-04-07,да,2026-04-05 09:00
